Grade,MI Baseline,MI Follow Up 1,MI Follow Up 2,RI Baseline,RI Follow Up 1,RI Follow Up 2,MI Imp 1 to 2,MI Imp 1 to 3,RI Imp 1 to 2,RI Imp 1 to 3
3,395,,,440,553,702,,,113,262
3,120,240,665,350,,,120,545,,
3,-45,125,300,0,,,170,345,,
3,200,460,580,0,,,260,380,,
3,405,,,396,394,456,,,-2,60
3,75,,,196,253,441,,,57,245
3,195,,,175,318,373,,,143,198
3,-140,,,73,205,327,,,132,254
3,-25,185,400,555,,,210,425,,
3,,,,0,83,185,,,83,185
4,695,,,547,595,581,,,48,34
4,350,,,303,542,656,,,239,353
4,360,305,580,447,,,-55,220,,
4,315,275,515,569,,,-40,200,,
4,445,,,433,452,451,,,19,18
4,70,,,208,128,328,,,-80,120
4,290,325,645,493,,,35,355,,
4,330,460,545,549,,,130,215,,
4,180,,,351,311,398,,,-40,47
4,420,,,281,360,370,,,79,89
4,305,365,495,55,,,60,190,,
5,505,,525,,,,,20,,
5,345,545,590,1035,,,200,245,,
5,315,425,580,707,,,110,265,,
5,555,560,540,642,,,5,-15,,
5,445,,,617,605,673,,,-12,56
5,665,,,526,655,632,,,129,106
5,295,,,747,654,689,,,-93,-58
5,335,445,810,667,,,110,475,,
5,430,,,712,646,654,,,-66,-58
5,395,,,316,278,548,,,-38,232
5,575,,,713,789,944,,,76,231
3,20,,,247,131,175,,,-116,-72
3,280,315,,192,,,35,,,
3,395,,,346,485,349,,,139,3
3,265,,,244,282,373,,,38,129
3,265,,,261,323,275,,,62,14
3,260,280,295,407,,,20,35,,
3,255,415,535,655,,,160,280,,
3,15,105,225,538,,,90,210,,
3,440,,,241,207,410,,,-34,169
3,30,,,186,274,350,,,88,164
3,300,350,755,291,,,50,455,,
6,490,495,515,599,,,5,25,,
6,240,,,764,791,771,,,27,7
6,475,495,465,603,,,20,-10,,
6,745,795,910,1044,,,50,165,,
6,555,,,648,659,625,,,11,-23
6,745,,,734,,758,,,,24
6,425,595,545,838,,,170,120,,
6,675,,,598,,683,,,,85
6,270,,,654,716,842,,,62,188
6,740,680,835,802,,,-60,95,,
6,,,,880,,908,,,,28
3,180,340,560,0,,,160,380,,
3,70,,,168,573,529,,,405,361
3,220,,,231,266,370,,,35,139
3,135,270,645,0,,,135,510,,
3,160,,,462,445,425,,,-17,-37
5,490,,,469,542,585,,,73,116
5,245,,,320,424,514,,,104,194
5,505,,,624,729,807,,,105,183
5,505,530,615,312,,,25,110,,
5,400,725,935,0,,,325,535,,
5,410,550,725,536,,,140,315,,
5,25,,,308,367,518,,,59,210
5,890,,,366,597,801,,,231,435
5,470,525,695,579,,,55,225,,
5,385,435,695,453,,,50,310,,
5,50,,,361,513,643,,,152,282
3,375,,,0,0,,,,0,
3,350,275,,318,,,-75,,,
3,75,,,26,0,,,,-26,
3,230,220,,98,,,-10,,,
3,230,,,0,0,,,,0,
3,280,,,0,0,,,,0,
3,160,175,,0,,,15,,,
3,280,175,,0,,,-105,,,
3,245,,,0,0,,,,0,
3,420,,,293,339,490,,,46,197
3,375,390,490,838,,,15,115,,
3,230,,505,,,,,275,,
3,270,,,302,370,442,,,68,140
3,420,,,316,397,498,,,81,182
3,215,340,245,0,,,125,30,,
3,420,,,104,212,504,,,108,400
3,500,,,416,429,521,,,13,105
3,375,-55,215,0,,,-430,-160,,
3,250,200,265,172,,,-50,15,,
3,420,,,13,351,286,,,338,273
5,220,,,687,797,826,,,110,139
5,565,,,647,756,706,,,109,59
5,555,525,595,510,,,-30,40,,
5,590,,,375,512,673,,,137,298
5,425,635,725,593,,,210,300,,
5,455,,,674,587,638,,,-87,-36
5,545,750,785,583,,,205,240,,
5,435,,,731,644,640,,,-87,-91
5,810,,,714,924,833,,,210,119
5,595,690,550,334,,,95,-45,,
5,255,,,550,561,516,,,11,-34
5,475,365,370,662,,,-110,-105,,
5,865,,,649,999,1121,,,350,472
5,320,370,380,650,,,50,60,,
5,355,,,376,380,258,,,4,-118
5,590,750,870,453,,,160,280,,
5,415,605,570,265,,,190,155,,
5,760,,,593,596,602,,,3,9
5,915,,,671,774,791,,,103,120
5,665,395,520,221,,,-270,-145,,
5,405,,,296,394,414,,,98,118
5,400,,,405,576,,,,171,
5,565,275,395,404,,,-290,-170,,
5,570,585,705,548,,,15,135,,
5,600,760,690,368,,,160,90,,
5,460,,,517,604,538,,,87,21
5,380,,,414,658,824,,,244,410
4,295,375,510,505,,,80,215,,
4,275,,,0,0,157,,,0,157
4,235,,,0,0,0,,,0,0
4,330,185,455,475,,,-145,125,,
4,275,265,435,0,,,-10,160,,
4,95,,,115,160,262,,,45,147
4,320,260,20,333,,,-60,-300,,
4,400,330,,335,,,-70,,,
4,310,,,472,432,675,,,-40,203
4,240,,,182,384,584,,,202,402
4,215,,,95,108,261,,,13,166
4,530,550,645,773,,,20,115,,
4,125,,,461,439,546,,,-22,85
4,510,605,480,481,,,95,-30,,
4,330,,,405,630,684,,,225,279
4,435,,,582,685,798,,,103,216
4,475,645,825,765,,,170,350,,
4,665,,,460,552,770,,,92,310
4,625,570,685,629,,,-55,60,,
4,465,485,825,589,,,20,360,,
4,435,,,242,357,510,,,115,268
4,430,,,688,714,820,,,26,132
4,505,515,795,145,,,10,290,,
4,520,,,666,738,733,,,72,67
4,425,340,535,378,,,-85,110,,
4,565,,,581,565,648,,,-16,67
4,515,,,512,721,820,,,209,308
4,250,,,495,580,584,,,85,89
4,410,,,430,464,530,,,34,100
4,490,580,955,291,,,90,465,,
4,330,,,721,840,741,,,119,20
4,425,595,605,454,,,170,180,,
4,495,680,835,512,,,185,340,,
